ln(gamma),log(pv), Total mean interaction energy in the mix (H_int)  , H-Bond interaction energy in the mix (H_HB)       , VdW interaction energy in the mix (H_vdW)         , Gas liquid transition energy in the mix (H_glt)   ,w_RS,log10(S_RS),Solvent_MolWeight,XLogP3,Hydrogen Bond Donor Count,Hydrogen Bond Acceptor Count,Rotatable Bond Count,Heavy Atom Count,Complexity,Atomic weights,E_gas,E_diel,Averaging corr dE,Area,Volume,Log(MV),Total COSMO charge,Dipole moment t_value,Sigma2,Sigma3,Sigma4,Sigma5,H-bond moment (accept),H-bond moment (donor) ,"PKA(25,H2O)","PKA(25,MeCN)",logD,WANS*10^5,حdح(dipole moment),Polar Surface Area,Nitrogen Heterocycle Count,Ring Count,Nitrogen Count,Sulfur Count,true_values
-0.05,2.12,1.4,-1.87,-4.41,1.14,0,-3.93,18.18,-3.7,3,5,4,10,145,1.11E+18,-346311.1,-25.1,1.06,172.73,167.41,2.22,0,8.05,150,9.3,247,-26.7,4.8,5.32,4.16,20.54,-4.48,-4.16,4.84,101,0,0,1,1,-0.29
0.5,2.83,2.08,-1.6,-5.39,1.14,0,-3.89,18.18,-3,3,4,5,10,106,1.11E+23,-312025.55,-21.17,0.86,191.1,191.01,2.28,0,5.99,127,75.3,255,325,8.64,1.15,8.95,18.74,-1,-1.73,0.96,89.3,0,0,2,0,-0.3
-0.44,1.47,1.17,-2.22,-6.02,1.14,0,-3.97,18.18,-4.2,4,4,5,12,176,1.11E+25,-380778.48,-28.48,1.38,214.93,214.24,2.33,0,9.11,182,56.4,339,241,10.62,3.9,10.66,22.26,-2.7,-2.93,1.97,128,0,0,4,0,0.16
-0.54,1.3,0.28,-1.91,-4.93,0.18,0,-3.62,18.18,-3.2,3,4,3,11,151,1.11E+19,-344508.98,-27.47,0.98,180.91,181.77,2.26,0,5.04,160,36.7,296,139,8.38,4.38,5.7,14.6,-3.9,-4.52,8.26,92,1,1,3,0,-0.01
-0.54,1.3,0.87,-2.92,-5.79,1.14,0,-4.15,18.18,-4.3,4,4,5,12,171,1.11E+24,-393268.07,-29.64,1.53,214.73,215.15,2.33,0,7.6,204,40.5,433,151,12.42,8.36,5.05,24.14,-4.38,-3.03,2.31,118,0,0,3,0,-0.39
0.11,3.08,1.25,-1.79,-3.57,1.14,0,-3.67,18.18,-4.1,2,4,2,7,120,1.11E+13,-476406.07,-18.56,1.09,143.51,133.49,2.13,0.01,3.57,138,-7.89,285,-71.8,4.16,6.16,-2.47,10.55,-10.36,-3.86,3.47,88.8,0,0,1,1,-0.86
-0.2,2.73,0.87,-2.4,-3.7,1.14,0,-3.77,18.18,-2.8,3,5,3,9,133,1.11E+15,-321630.44,-21.27,1.32,154.67,151,2.18,0.01,2.79,162,-13.7,337,-89.9,5.61,8.84,3.86,21.36,-4.48,-3.1,8.53,101,0,0,1,0,-0.44
-0.58,2.22,-0.16,-1.86,-5.95,-0.01,0,-3.01,20.75,-2.3,3,4,3,13,176,1.11E+23,-395506.83,-20.45,1.27,210.41,219.03,2.34,0,4.34,158,-11.2,301,-58.2,5.35,7.81,4.18,23.28,-2.58,-2.6,8.84,83.6,0,1,1,0,0.14
0.02,3.16,0.84,-1.88,-3.74,1.14,0,-3.53,18.18,-1.5,2,4,2,6,55.5,1.11E+12,-429187.17,-19.14,0.95,136.46,125.99,2.1,0,5.56,129,43.8,272,164,8.05,3.84,8.34,19,-1.9,-2.55,5.19,82.5,0,0,1,1,-0.48
0.21,2.82,0.21,-2.18,-4.04,0.18,0,-3.31,18.18,-3.3,3,4,1,9,125,1.11E+17,-299058.88,-18.75,1.12,155.95,154.27,2.19,0,3.05,140,34.4,301,118,8.1,5.75,7.9,18.5,-1.19,-2.19,3.72,69.6,1,1,1,0,-0.07
1.49,3.54,2.68,-1.89,-6.45,1.14,0,-3.93,18.18,-1,3,3,7,10,56.8,1.11E+28,-277731.8,-15.74,0.99,217.83,216.4,2.34,0,1.9,124,142,373,727,14.62,0.09,9.46,19.87,0.54,-2.29,2.35,64.1,0,0,3,0,0.47
-0.11,2.28,0.61,-2.03,-5.63,0.18,0,-3.64,18.18,-0.4,2,2,3,11,138,1.11E+21,-321959.65,-23.57,0.83,195.51,194.44,2.29,0,4.66,148,58.4,320,214,11.2,4.88,6.06,14.64,-2.8,-2.61,4.77,57.8,1,1,3,0,0.79
0.03,2.43,0.27,-1.92,-3.91,0.18,0,-3.39,18.18,-0.8,2,3,1,9,154,1.11E+15,-298325.85,-20.95,0.96,151.34,146.44,2.17,0,7.17,137,11.3,267,-26.3,6.36,6.48,3.66,21.17,-4.87,-2.3,6.22,66.4,1,1,1,0,-0.52
0.76,3.22,0.64,-1.3,-5.39,-0.01,0,-2.94,19.31,1.1,2,2,2,10,87.3,1.11E+20,-277119.92,-13.98,0.82,183.62,181.83,2.26,0,2.6,106,27.2,227,168,5.88,3.52,8.82,18.57,0.95,-2.63,3.17,46.2,0,1,1,0,0
0.15,2.94,0.52,-1.69,-4.48,0.18,0,-3.32,18.18,-0.7,2,2,2,8,64.7,1.11E+16,-226117.79,-18.32,0.8,155.19,146.49,2.17,0,4.89,122,68.6,307,360,10.5,2.98,8.7,18.47,-1.26,-2.85,4.92,54.7,1,1,3,0,0.69
-0.51,2.2,-1.81,-0.59,-6.66,-1.36,0.01,-1.77,24.44,2.6,2,2,0,14,219,1.11E+22,-369670.27,-14.85,0.86,210.7,216.51,2.34,0,2.51,108,-19,154,-31.5,2.67,3.95,5.78,12.59,0.02,-2.83,2.59,54.7,2,3,3,0,0.83
-0.84,0.96,-1.44,-1.36,-6.6,-1.36,0,-2.34,22.08,0.6,1,4,0,15,246,1.11E+23,-414479.15,-25.04,0.93,218.25,227.81,2.36,0.01,8.8,141,56.1,274,235,9.64,3.08,5.71,14.84,-2.23,-2.75,8.88,69.6,2,3,5,0,0.76
-0.5,2.3,-1.96,-0.52,-7.26,-1.36,0.01,-1.63,25.21,2.9,2,2,0,15,243,1.11E+25,-394350.33,-14.53,0.87,227.94,238.72,2.38,0,2.95,104,-11.8,144,-14.1,2.67,3.43,5.81,12.56,0.58,-2.26,3.04,54.7,2,3,3,0,0.95
-0.94,0.92,-1.56,-1.33,-7.28,-1.36,0,-2.27,22.83,1,1,4,0,16,271,1.11E+26,-439161.54,-25.13,0.98,237.6,249.06,2.4,0.01,7.72,142,63.8,281,265,10.06,2.97,5.88,15.22,-1.59,-1.95,7.78,69.6,2,3,5,0,0.77
-0.48,1.35,-1.41,-1.02,-7.32,-1.36,0,-1.98,22.08,2,1,3,0,16,270,1.11E+27,-429090.88,-21.18,0.93,236.91,253.92,2.4,0,9.17,124,38.5,216,166,7.22,2.74,7.22,16.13,0.27,-4.33,9.28,56.7,2,3,4,0,0.83
-0.95,0.7,-1.6,-1.26,-6.89,-1.36,0,-2.36,22.86,1.7,1,3,0,15,245,1.11E+24,-404412.57,-27.45,0.9,223.43,232.81,2.37,0,10.84,139,39.2,269,182,8.87,4.02,6.83,16.69,-0.82,-4.58,11,56.7,2,3,4,0,0.78
0.04,2.69,-1.58,-0.53,-6.83,-1.36,0.01,-1.65,23.61,3.6,1,1,0,14,216,1.11E+23,-359587.04,-12.73,0.59,214.44,223.28,2.35,0,4.55,81.6,10,132,63.3,3.7,2.33,7.72,16.34,1.94,-4.95,4.58,28.7,2,3,2,0,1.06
-0.41,1.43,-1.36,-1.02,-6.82,-1.36,0,-2.04,21.75,1.5,1,3,0,15,245,1.11E+24,-404412.92,-20.86,0.92,222.22,233.02,2.37,0,8.83,123,32.7,213,148,6.9,2.78,7,15.75,-0.15,-2.69,8.95,56.7,2,3,4,0,0.89
-0.06,2.73,-1.48,-0.6,-6.21,-1.36,0.01,-1.82,23.18,3.2,1,1,0,13,193,1.11E+20,-334904.7,-13.23,0.56,196.55,201.82,2.3,0,4.61,85.1,3.38,142,46.2,3.74,2.88,7.61,16.32,1.37,-4.84,4.64,28.7,2,3,2,0,1.02
-0.73,1.51,-0.6,-1.41,-5.91,-0.59,0,-2.76,21.48,1,1,3,0,12,172,1.11E+21,-332645.4,-25.27,0.81,195.56,198.01,2.3,0.01,9.99,128,57.4,269,243,9.75,3.19,7.16,17.5,-1.15,-4.24,10.15,56.7,2,2,4,0,0.94
-0.01,2.74,-1.31,-0.51,-6.62,-1.16,0.01,-1.78,23.38,2.3,1,2,1,13,152,1.11E+22,-335659.6,-12.87,0.73,209.56,213.73,2.33,0,3.22,91.3,4.88,123,51,3.16,1.78,7,14.9,1.32,-6,3.7,38.9,1,2,2,0,1.05
-1.1,0.48,-2.09,-1.18,-7.94,-1.74,0,-2.14,24.01,2.2,1,3,1,17,264,1.11E+28,-453005.36,-27.08,0.93,254.21,269.18,2.43,0,10.11,144,42.9,263,195,8.87,3.5,6.32,15.87,-0.61,-4.74,10.22,56.7,2,3,4,0,0.83
-1.03,0.84,-1.7,-1.3,-7.87,-1.36,0,-2.17,23.45,1.4,1,4,0,17,297,1.11E+29,-463843.37,-25.35,1.03,254.55,269.67,2.43,0.01,6.62,143,68.9,284,281,10.44,2.87,6.01,15.48,-1.09,-4.51,6.74,69.6,2,3,5,0,0.86
1.03,4.28,1.7,-1.4,-3.36,1.14,0,-3.44,18.18,-2.8,2,3,2,6,52.8,1.11E+12,-203238.02,-12.38,0.78,127.98,113.01,2.05,0,2.92,94.2,17.5,201,42.4,4.57,4.19,4.37,24.65,-2.74,-4.93,8.22,49.3,0,0,1,0,-0.22
-0.85,1.29,-0.34,-2.16,-4.06,0.18,0,-3.48,18.18,-1.8,1,1,0,8,151,1.11E+14,-248680.59,-30.05,0.8,143.83,134.46,2.13,0,11.98,146,74.4,333,274,12.86,4.35,5.11,15.98,-5.3,-5.49,12.08,58.7,1,1,3,0,0.27
-0.28,1.72,-0.17,-2.23,-4.13,-0.01,0,-3.4,18.18,-1.5,3,4,1,11,225,1.11E+16,-379564.96,-23.86,1.38,167.39,163.4,2.21,0.01,5.18,172,-17.2,327,-144,5.51,8.7,2.35,17.25,-6.68,-4.92,4.87,95.5,1,1,2,0,-1.33
-0.98,-0.26,0.05,-3.29,-6.89,0.18,0,-4.05,18.18,-4,4,5,6,16,259,1.11E+29,-499765.15,-38.44,1.62,256.29,270.05,2.43,0,12.99,233,51,527,223,14.27,9.82,9.18,20.43,-2.61,-2.2,9.07,121,1,1,4,0,-0.78
-0.98,-0.06,-1.76,-2.7,-4.59,-0.59,0,-3.31,18.53,-1.9,4,3,0,12,332,1.11E+15,-400333.37,-32.33,1.46,170.49,165.06,2.22,0.01,4.89,213,-41.9,498,-282,9.31,15.52,5.46,20.01,-5.65,-2.96,4.55,99.3,2,2,4,0,-0.91
-2.41,-0.47,0.21,-2.88,-4.36,1.14,0,-4.32,18.18,0.5,0,2,1,8,87.6,1.11E+18,-252564.63,-41.59,0.81,153.39,154.86,2.19,0,15.35,178,181,468,789,21.46,0.08,1.63,14.25,-9.97,-2.66,15.47,40.1,0,0,1,0,0.38
-0.79,0.33,-1.16,-2.53,-3.85,-0.01,0,-3.42,18.18,-1.7,2,2,0,8,170,1.11E+12,-247927.26,-34.38,0.87,136.73,126.12,2.1,0,12.89,167,25.9,432,122,12.95,9.67,6.77,18.33,-4,-2.61,13.02,67.5,1,1,3,0,0.25
-0.64,1.31,-1.16,-2.06,-4.14,-0.59,0,-3.06,18.71,-0.5,2,3,0,10,190,1.11E+13,-305848.58,-25.27,0.97,150.2,143.93,2.16,0.01,2.51,159,5.76,351,-26.8,8.83,8.14,3.33,11.33,-6.92,-2.86,2.6,70.1,2,2,4,0,-0.06
-0.59,1.37,-1.12,-2,-4.4,-0.59,0,-2.97,19.1,-0.7,3,3,0,11,217,1.11E+14,-353096.6,-23.72,1.25,159.89,153.96,2.19,0.01,6.06,170,-15.1,367,-128,7.64,10.2,7.74,22.93,-2.99,-2.73,6.1,86.9,2,2,4,0,-0.37
-0.96,0.35,-1.63,-2.61,-4.52,-0.59,0,-3.19,18.2,-1.1,3,3,0,11,225,1.11E+15,-340609.61,-30.43,1.22,164.42,158.81,2.2,0.01,3.28,191,-7.34,441,-50.1,10.78,11.63,4.81,13.86,-5.99,-2.81,3.34,96.2,2,2,5,0,0.06
-0.14,2.33,-0.31,-1.67,-3.6,-0.01,0,-3.15,18.18,-1.1,2,2,0,8,161,1.11E+11,-260420.35,-21.07,0.9,132.41,121.21,2.08,0,6.46,134,3.97,267,-37,6.39,6.45,8.21,24.76,-2.54,-2.48,6.5,58.2,1,1,2,0,-0.62
-0.75,0.65,-1.26,-2.24,-4.3,-0.59,0,-3.03,18.18,-0.1,2,4,0,10,127,1.11E+14,-293364.85,-30.51,0.99,153.88,148.09,2.17,0,11.17,161,9.31,380,47.5,10.2,8.73,5.5,15,-4.52,-2.45,11.33,80.5,2,2,5,0,0.52
-0.98,1.16,-1.1,-1.84,-7.11,-0.97,0,-2.68,21.34,-1.2,3,5,2,17,381,1.11E+30,-549390.08,-24.52,1.42,246.36,266.66,2.43,0.01,4.01,176,50.1,310,96.6,9.28,5.39,15.53,45.1,-0.93,-3.96,6.43,99.1,1,2,2,0,-1.71
-0.86,-2.05,-1.38,-3.27,-6.41,-0.97,0,-3.32,18.18,-2.1,4,5,2,17,383,1.11E+29,-559442.09,-33.42,1.74,241.37,261.47,2.42,0.01,6.86,228,40.6,467,146,13.35,9.24,15.82,45.67,-2.4,-3.46,9.4,129,1,2,3,0,-0.7
-1.81,-1.34,-2.31,-2.91,-7.2,-1.55,0,-2.92,20.64,-1.3,4,7,2,19,405,1.11E+30,-617361.46,-37.38,1.8,261.27,285.84,2.46,0.01,9.42,243,21.5,459,3.18,11.36,10.23,10.31,29.87,-2.75,-2.08,9.18,129,2,3,4,0,-1.24
-1.76,-1.92,-2.15,-2.78,-7.3,-1.55,0,-2.85,21.07,-2.4,5,7,2,20,434,1.11E+31,-664603.13,-37.75,1.91,265.99,291.82,2.47,0.01,15.45,240,28.5,439,14,11,9.33,12.24,32.43,-2.45,-3.34,12.18,146,2,3,4,0,-1.15
-2.13,-2.39,-2.67,-3.19,-7.65,-1.55,0,-2.97,20.66,-1.9,5,7,2,20,446,1.11E+32,-652122.61,-42.64,2.09,276.17,298.73,2.48,0.01,11.43,271,-5.63,543,-85.9,12.26,14.35,13.14,36.02,-2.86,-2.22,11.13,155,2,3,5,0,-0.56
-0.92,0.66,-1.6,-1.84,-7.22,-1.55,0,-2.2,20.68,-1.1,4,8,2,19,335,1.11E+31,-604889.21,-23.66,1.73,253.58,283.19,2.45,0.01,2.18,191,36.3,322,107,8.99,5.54,14.19,39.95,-0.74,-3.53,3.84,140,2,3,5,0,0.13
