ln(gamma),log(pv), Total mean interaction energy in the mix (H_int)  , H-Bond interaction energy in the mix (H_HB)       , VdW interaction energy in the mix (H_vdW)         , Gas liquid transition energy in the mix (H_glt)   ,w_RS,log10(S_RS),Solvent_MolWeight,XLogP3,Hydrogen Bond Donor Count,Hydrogen Bond Acceptor Count,Rotatable Bond Count,Heavy Atom Count,Complexity,Atomic weights,E_gas,E_diel,Averaging corr dE,Area,Volume,Log(MV),Total COSMO charge,Dipole moment t_value,Sigma2,Sigma3,Sigma4,Sigma5,H-bond moment (accept),H-bond moment (donor) ,"PKA(25,H2O)","PKA(25,MeCN)",logD,WANS*10^5,حdح(dipole moment),Polar Surface Area,Nitrogen Heterocycle Count,Ring Count,Nitrogen Count,Sulfur Count,true_values
-1.35,-1.34,-1.98,-3.26,-6.93,-1.55,0,-3.09,18.72,-1.3,4,7,2,19,405,1.11E+30,-617361.46,-37.38,1.8,261.27,285.84,2.46,0.01,9.42,243,21.5,459,3.18,11.36,10.23,10.31,29.87,-2.75,-2.08,9.18,129,2,3,4,0,-2.24
-1.16,-1.92,-1.7,-3.18,-6.96,-1.55,0,-3.07,18.72,-2.4,5,7,2,20,434,1.11E+31,-664603.13,-37.75,1.91,265.99,291.82,2.47,0.01,15.45,240,28.5,439,14,11,9.33,12.24,32.43,-2.45,-3.34,12.18,146,2,3,4,0,-1.56
-1.67,-2.39,-2.33,-3.56,-7.37,-1.55,0,-3.14,18.72,-1.9,5,7,2,20,446,1.11E+32,-652122.61,-42.64,2.09,276.17,298.73,2.48,0.01,11.43,271,-5.63,543,-85.9,12.26,14.35,13.14,36.02,-2.86,-2.22,11.13,155,2,3,5,0,-0.85
-0.27,-0.25,-0.45,-2.21,-6.23,-0.97,0,-3.04,18.72,-2,4,6,2,17,371,1.11E+28,-571933.93,-25.98,1.71,235.87,256.94,2.41,0.01,5.57,194,28.6,328,37.3,8.29,6.3,11.64,34.25,-0.98,-1.56,4.28,119,1,2,2,0,-1.54
-0.07,0.66,-0.9,-2.1,-6.97,-1.55,0,-2.53,18.72,-1.1,4,8,2,19,335,1.11E+31,-604889.21,-23.66,1.73,253.58,283.19,2.45,0.01,2.18,191,36.3,322,107,8.99,5.54,14.19,39.95,-0.74,-3.53,3.84,140,2,3,5,0,0.42
-0.99,1.6,0.55,-2.4,-7.07,1.14,0,-3.46,20.82,-1.1,4,5,6,15,239,1.11E+31,-492236.17,-26.02,1.56,247.96,269.32,2.43,0,7.46,186,7.26,354,-39.4,8.13,8.95,6.22,23.15,-1.05,-7.18,4.69,107,0,0,1,0,-0.93
-0.22,3.02,-0.1,-1.18,-4.54,-0.01,0,-2.8,20.82,-0.4,1,2,1,9,114,1.11E+14,-261772.52,-16.8,0.79,152.74,146.35,2.17,0,2.95,112,27.7,215,95.8,7.01,3.68,5.08,12.91,-3.24,-5.1,4.94,56,1,1,2,0,0.6
0.03,2.47,-0.03,-1.45,-5.4,-0.01,0,-2.67,20.82,0,2,4,2,12,162,1.11E+20,-370806.14,-16.87,1.08,190.02,193.09,2.29,0.01,3.53,121,8.31,226,-19.7,4.94,5.51,5.04,18.08,-1.4,-2.71,3.58,70.4,1,1,1,0,0.99
-0.44,1.77,-0.39,-1.74,-5.57,-0.01,0,-2.82,20.82,-0.8,3,4,2,12,142,1.11E+22,-371565.33,-22.39,1.06,195.11,198.18,2.3,0,9.44,137,11.5,264,32,6.46,6.06,11.25,32,0.01,-3.22,2.9,73.6,1,1,1,0,1.41
-0.35,2.14,-0.34,-1.84,-5.75,-0.01,0,-2.77,20.82,-1,3,4,2,12,143,1.11E+23,-359090.34,-19.85,1.23,199.15,205.79,2.31,0.01,2.37,144,49.5,321,233,9.73,4.96,8.51,18.04,-0.23,-3.37,4.35,79.4,1,1,2,0,1.2
0.38,3.56,0.11,-1.11,-4.21,-0.01,0,-2.58,20.82,0.4,1,3,1,9,114,1.11E+13,-274248.27,-12.08,0.77,149.15,142,2.15,0,0.88,92.9,1.16,177,-39.1,3.37,4.37,3.73,20.67,-2.73,-2.8,3.67,50.2,1,1,1,0,0.44
0.1,3.79,1.03,-1.3,-3.42,1.14,0,-3.12,20.82,-3,2,3,1,6,61.8,1.11E+12,-203245.47,-12.07,0.88,123.86,112.49,2.05,0,1.93,103,20.6,223,81.1,5.25,4.15,6.92,15.51,-0.69,-4.07,2.88,63.3,0,0,1,0,0.05
0.58,3.98,1.36,-1.14,-5.16,1.14,0,-2.98,20.82,-1.5,2,3,3,9,101,1.11E+21,-277278.98,-11.49,0.91,176.64,178.51,2.25,0,1.75,97.3,10,188,15.9,4.1,4.03,4.32,23.12,-1.46,-4.42,4.6,63.3,0,0,1,0,0.45
0.58,3.99,1.34,-1.1,-5.11,1.14,0,-2.95,20.82,-1.7,2,3,3,9,103,1.11E+21,-277277.53,-11.39,0.9,174.76,177.8,2.25,0,1.86,95.2,4.07,178,-13.2,3.66,4.06,5.29,24.73,-0.48,-4.81,8.21,63.3,0,0,1,0,0.47
0.11,3.48,1.57,-0.79,-4.55,1.14,0,-3.2,20.82,-2.3,2,3,2,8,90.4,1.11E+18,-252602.99,-16.64,0.58,154.87,154.22,2.19,0,7.95,86.9,30.2,126,74.6,3.87,1.16,5.48,13.49,-1.89,-5.23,8.12,63.3,0,0,1,0,0.36
0.19,3.62,0.22,-1.19,-4.23,0.18,0,-2.74,20.82,-2.5,2,3,1,8,103,1.11E+16,-251835.36,-13.13,0.77,147.6,142.26,2.15,0,3.61,94.9,18,192,36.7,4.47,4,3.51,21.36,-3.35,-4.13,3.48,49.3,1,1,1,0,0.46
0.05,2.97,0.3,-1.22,-5.87,-0.01,0,-2.77,20.82,-1.5,2,3,3,12,153,1.11E+22,-348279.88,-15.74,1.01,200.74,208.03,2.32,0,2.66,122,9.49,216,30.8,4.48,4.38,4.16,22.91,-1.94,-2.63,7.78,63.3,0,1,1,0,0.34
0.04,3.26,1.12,-1.31,-5.61,1.14,0,-3.15,20.82,-1.9,2,4,4,9,97,1.11E+19,-502500.66,-15.83,1.08,186.45,185.96,2.27,0.01,4.25,126,19.1,229,42.1,4.86,4.41,4.94,22.93,-1.51,-3.09,4.05,88.6,0,0,1,1,0.16
-0.5,1.74,-0.39,-1.42,-6.86,-0.59,0,-2.69,20.82,-1.1,3,3,3,15,245,1.11E+26,-430875.84,-21.02,1.24,233.33,250.05,2.4,0,5.34,153,-10.6,271,-20.2,4.73,6.7,4.11,22.25,-1.98,-4.08,5.74,79.1,1,2,2,0,-0.04
-0.11,2.82,0.95,-1.35,-3.57,1.14,0,-3.19,20.82,-3.1,3,4,2,7,72.6,1.11E+13,-250467.47,-14.94,1.06,132.32,122.02,2.09,0,3.06,118,4.07,216,-33.2,4.49,4.85,3.58,19.55,-4.08,-3.26,0.99,83.6,0,0,1,0,-0.35
-0.83,1.53,0.57,-2.08,-5.04,1.14,0,-3.65,20.82,-3.1,3,4,4,10,146,1.11E+19,-333834.6,-24.89,1.35,180.5,176.05,2.25,0,6.95,174,25,351,64,9.61,7.18,5.6,22.19,-3.61,-5.52,7.53,106,0,0,2,0,-0.54
0.05,3.49,0.99,-1.39,-4.11,1.14,0,-3.08,20.82,-2.9,3,4,2,8,93.3,1.11E+16,-275147.28,-14.56,1.14,149.43,144.38,2.16,0.01,4,119,6.4,228,-10.9,5.24,4.98,2.45,17.53,-4.59,-5.42,3.68,83.6,0,0,1,0,-0.32
0.07,3.62,0.9,-1.02,-4.45,1.14,0,-2.93,20.82,-2.5,3,4,2,7,75.3,1.11E+13,-453148.38,-13.45,1,147.18,141.36,2.15,0.01,3.06,108,-15.6,173,-97.6,1.79,4.69,5.27,20.11,-1.25,-3.34,5,64.3,0,0,1,1,-0.83
-0.83,2.07,0.51,-2.11,-4.39,1.14,0,-3.76,20.82,-3.4,3,4,3,9,134,1.11E+16,-309157.08,-24.85,1.33,160.84,155.26,2.19,0,3.88,177,14.7,352,34.5,9.05,7.57,3.77,19.29,-6.05,-4.96,6.4,106,0,0,2,0,-0.79
-0.66,2.12,1.07,-1.6,-4.69,1.14,0,-3.71,20.82,-3.7,3,5,4,10,145,1.11E+18,-346311.1,-25.1,1.06,172.73,167.41,2.22,0,8.05,150,9.3,247,-26.7,4.8,5.32,4.16,20.54,-4.48,-4.16,4.84,101,0,0,1,1,-0.69
-0.46,2.83,1.4,-1.35,-5.61,1.14,0,-3.51,20.82,-3,3,4,5,10,106,1.11E+23,-312025.55,-21.17,0.86,191.1,191.01,2.28,0,5.99,127,75.3,255,325,8.64,1.15,8.95,18.74,-1,-1.73,0.96,89.3,0,0,2,0,0.27
